k,silhouette_score,davies_bouldin_score,calinski_harabasz_score
2,0.052243247628211975,4.819504187732056,966.7701416015625
3,0.03335834667086601,4.400204745889166,838.9451293945312
4,0.03472036123275757,3.959750592533368,772.2561645507812
5,0.02163838967680931,3.7963431933404572,677.8209838867188
6,0.018693607300519943,3.5716228163440102,670.6378784179688
7,0.023172542452812195,3.4998522927787445,636.9339599609375
8,0.024173008278012276,3.3050434885640314,600.19677734375
9,0.026855815201997757,3.2519915216793227,577.1119995117188
10,0.026003170758485794,3.147772727551634,545.9842529296875
11,0.030102789402008057,3.0794267004216938,532.8330688476562
12,0.027299128472805023,3.002399783084399,513.6189575195312
13,0.025322701781988144,2.945498031060203,494.3233337402344
14,0.023226654157042503,2.911022480217492,475.8412170410156
15,0.023552697151899338,2.9339915624004775,460.681640625
16,0.03186742588877678,2.8473923777786574,453.2664794921875
17,0.03194279596209526,2.849003028445575,437.2183837890625
18,0.029850423336029053,2.831500278907636,422.8103942871094
19,0.03136289492249489,2.8005511846974454,414.97314453125
20,0.02605893649160862,2.772418889802811,407.74749755859375
21,0.024160446599125862,2.768679899797228,397.124267578125
22,0.025927163660526276,2.738805964627714,389.63702392578125
23,0.02709943987429142,2.671129411721091,383.9631042480469
24,0.026338135823607445,2.641220930048403,377.6068420410156
25,0.025857454165816307,2.6987807057108717,366.6849060058594
26,0.025440802797675133,2.6221730258970575,361.95513916015625
27,0.023865757510066032,2.670310903208365,350.2687072753906
28,0.02862059883773327,2.608003801125846,349.9037170410156
29,0.0266914963722229,2.6428819336496656,340.4825134277344
30,0.02798519842326641,2.59617490836295,334.1159973144531
31,0.029224731028079987,2.601831600911913,331.3677062988281
32,0.02702064998447895,2.5989197489387617,324.8340148925781
